id,date,price,lat,lon
482,2/28,267.69,40.671272,-73.907963
483,2/28,267.69,40.671272,-73.907963
484,2/28,267.69,40.675891,-73.921495
485,2/28,267.69,40.687573,-73.938954
486,2/28,267.69,40.815223,-73.957908
487,2/28,267.69,40.727992,-73.726674
488,2/28,267.69,40.716329,-73.743876
489,2/28,267.69,40.703748,-73.727766
490,3/1,267.69,40.628763,-73.918257
491,3/1,267.69,40.678441,-73.924228
492,3/1,267.69,40.678441,-73.924228
493,3/1,267.69,40.685363,-73.968272
494,3/1,267.69,40.835650,-73.907170
495,3/1,267.69,40.832298,-73.908473
496,3/1,267.69,40.837586,-73.905961
497,3/1,267.69,40.834445,-73.907911
498,3/1,267.69,40.748983,-73.715910
499,3/2,267.62,40.633405,-73.923055
500,3/2,267.62,40.633405,-73.923055
501,3/2,267.62,40.572064,-73.995032
502,3/2,267.62,40.813407,-73.946490
503,3/2,267.62,40.821838,-73.905218
504,3/3,267.55,40.684189,-73.989181
505,3/3,267.55,40.684189,-73.989181
506,3/3,267.55,40.724069,-73.995344
507,3/4,267.56,40.682584,-73.988753
508,3/4,267.56,40.620872,-73.988420
509,3/4,267.56,40.620872,-73.988420
510,3/5,267.59,40.661979,-73.957060
511,3/5,267.59,40.662966,-73.957171
512,3/5,267.59,40.697761,-73.793319
513,3/5,267.59,40.619587,-74.078066
514,3/5,267.59,40.619587,-74.078066
515,3/5,267.59,40.656755,-73.938396
516,3/5,267.59,40.754800,-73.944022
517,3/5,267.59,40.662402,-73.937336
518,3/5,267.59,40.638748,-73.948656
519,3/6,267.53,40.763080,-73.999562
520,3/6,267.53,40.763080,-73.999562
521,3/6,267.53,40.824217,-73.905130
522,3/6,267.53,40.824217,-73.905130
523,3/7,267.51,40.639993,-73.994307
524,3/7,267.51,40.627970,-73.930783
525,3/7,267.51,40.844014,-73.935452
526,3/7,267.51,40.830965,-73.869547
527,3/8,267.51,40.665795,-73.905506
528,3/8,267.51,40.756353,-73.944556
529,3/8,267.51,40.720628,-73.977784
530,3/8,267.51,40.720628,-73.977784
531,3/8,267.51,40.639311,-73.958963
532,3/9,267.44,40.810718,-73.936137
533,3/9,267.44,40.669340,-73.871805
534,3/9,267.44,40.637007,-74.129313
535,3/9,267.44,40.831106,-73.942960
536,3/9,267.44,40.831106,-73.942960
537,3/9,267.44,40.831106,-73.942960
538,3/9,267.44,40.831106,-73.942960
539,3/9,267.44,40.682134,-73.988381
540,3/9,267.44,40.572004,-73.997626
541,3/9,267.44,40.572004,-73.997626
542,3/10,267.52,40.599628,-73.750576
543,3/10,267.52,40.640334,-74.087105
544,3/10,267.52,40.834353,-73.904806
545,3/10,267.52,40.839291,-73.915606
546,3/10,267.52,40.664269,-73.932265
547,3/11,267.46,40.837443,-73.903870
548,3/11,267.46,40.822876,-73.904256
549,3/11,267.46,40.829586,-73.950029
550,3/11,267.46,40.712586,-74.007612
551,3/11,267.46,40.666314,-73.895589
552,3/11,267.46,40.705691,-73.926162
553,3/11,267.46,40.712784,-74.005941
554,3/11,267.46,40.623592,-74.082775
555,3/11,267.46,40.818360,-73.889376
556,3/11,267.46,40.818360,-73.889376
557,3/11,267.46,40.855463,-73.930869
558,3/11,267.46,40.690555,-73.985095
559,3/11,267.46,40.637443,-74.113752
